Gene,SRR5886303,SRR5886304,SRR5886305,SRR5886306
LOC100505502,0,0,0,0
LOC100505549,53,30,30,11
LOC100505555,0,0,0,0
LOC100505585,0,0,0,0
LOC100505588,0,0,0,0
LOC100505622,0,0,0,0
LOC100505715,0,0,0,0
LOC100505716,0,0,0,0
LOC100505736,1,2,0,0
LOC100505774,4,1,1,0
LOC100505782,0,0,0,0
LOC100505797,0,0,0,0
LOC100505841,0,0,0,0
LOC100505851,3,1,5,0
LOC100505874,0,0,0,0
LOC100505912,7,3,7,9
LOC100505915,11,9,13,8
LOC100505918,0,0,3,1
LOC100505938,1,0,0,0
LOC100505942,11,3,26,10
LOC100505978,1,0,1,1
LOC100506016,0,0,0,0
LOC100506023,33,11,32,22
LOC100506071,55,51,45,17
LOC100506076,0,0,0,0
LOC100506083,8,7,26,29
LOC100506098,4,4,0,0
LOC100506100,82,70,106,72
LOC100506123,0,0,0,0
LOC100506124,12,28,32,20
LOC100506142,0,2,0,2
LOC100506175,0,0,1,2
LOC100506178,773,572,44,22
LOC100506188,0,0,0,0
LOC100506207,26,13,12,7
LOC100506258,0,0,0,0
LOC100506271,5,2,11,2
LOC100506274,0,0,0,0
LOC100506281,0,0,0,0
LOC100506282,298,198,195,187
LOC100506302,151,90,138,99
LOC100506321,1,0,0,0
LOC100506358,0,1,1,2
LOC100506388,0,0,0,0
LOC100506403,1,0,0,0
LOC100506406,0,0,0,0
LOC100506422,0,0,0,0
LOC100506444,0,0,0,0
LOC100506472,13,2,9,13
LOC100506474,0,0,0,0
LOC100506476,7,11,7,3
LOC100506497,0,2,0,4
LOC100506551,0,0,0,1
LOC100506585,0,0,0,0
LOC100506606,17,10,9,6
LOC100506639,306,176,233,178
LOC100506675,0,0,0,0
LOC100506679,0,2,0,0
LOC100506682,0,0,0,0
LOC100506688,2,2,5,4
LOC100506691,114,100,225,166
LOC100506725,0,0,0,0
LOC100506730,74,65,126,94
LOC100506790,0,0,0,0
LOC100506804,26,29,8,16
LOC100506858,0,0,0,0
LOC100506869,0,0,0,0
LOC100506885,0,0,0,0
LOC100506937,0,0,0,0
LOC100506990,90,72,103,60
LOC100507002,2,1,1,2
LOC100507006,0,0,0,1
LOC100507053,2,8,2,6
LOC100507065,1,0,0,0
LOC100507071,0,0,0,0
LOC100507144,3,7,2,2
LOC100507156,0,2,0,3
LOC100507250,3,0,4,3
LOC100507283,17,17,2,2
LOC100507291,21,2,9,14
LOC100507334,0,0,0,0
LOC100507346,0,0,0,0
LOC100507351,0,0,0,0
LOC100507373,33,13,24,21
LOC100507377,0,0,0,0
LOC100507384,0,0,0,0
LOC100507387,0,0,0,0
LOC100507389,0,0,0,0
LOC100507412,1,2,2,0
LOC100507437,38,7,68,47
LOC100507443,0,0,0,0
LOC100507464,0,0,0,0
LOC100507472,7,3,27,26
LOC100507477,49,43,1,2
LOC100507507,116,80,93,70
LOC100507516,3,2,1,0
LOC100507547,14,4,50,32
LOC100507548,0,0,0,0
LOC100507551,9,9,14,9
LOC100507557,3,6,10,5
LOC100507564,5,11,1,5
LOC100507599,290,287,192,157
LOC100507634,0,12,11,5
LOC100507642,18,4,26,34
LOC100508046,0,0,0,0
LOC100630923,11,10,13,6
LOC100631378,0,0,0,0
LOC100652758,57,52,69,31
LOC100652768,10,1,7,6
LOC100652931,0,0,0,0
LOC100652999,0,4,0,0
LOC100653233,0,0,0,0
LOC100996249,0,0,0,0
LOC100996263,0,0,0,1
LOC100996318,0,0,0,0
LOC100996325,3,4,2,5
LOC100996349,0,0,0,0
LOC100996351,1,1,0,1
LOC100996385,0,0,0,0
LOC100996413,0,0,0,0
LOC100996419,7,10,6,4
LOC100996437,25,25,18,15
LOC100996447,0,0,0,0
LOC100996583,0,0,0,0
LOC100996643,0,0,0,0
LOC100996654,1,1,2,2
LOC100996664,5,3,1,0
LOC100996671,0,0,0,0
LOC100996720,0,0,0,0
LOC100996724,185,134,142,162
LOC100996740,3,1,0,0
LOC100996750,0,0,0,0
LOC100996842,81,18,106,88
LOC101059915,2,0,0,0
LOC101059948,0,0,0,0
LOC101060524,0,0,0,0
LOC101060553,18,19,2,6
LOC101241902,0,0,0,0
LOC101409256,15,15,18,22
LOC101448202,0,0,0,0
LOC101559451,7,1,8,15
LOC101593348,6,4,4,0
LOC101926889,0,1,0,0
LOC101926892,0,0,0,0
LOC101926898,0,0,0,0
LOC101926905,0,0,0,0
LOC101926908,0,0,0,0
LOC101926913,2,2,0,1
LOC101926915,0,0,0,0
LOC101926933,0,0,0,2
LOC101926934,0,0,0,0
LOC101926935,6,7,0,3
LOC101926943,1,0,0,0
LOC101926944,1,0,0,0
LOC101926948,0,0,0,0
LOC101926960,0,0,0,0
LOC101926964,0,0,0,0
LOC101926968,0,0,0,0
LOC101927018,0,0,0,0
LOC101927020,0,0,0,0
LOC101927021,208,123,249,170
LOC101927023,0,0,0,0
LOC101927040,8,5,13,0
LOC101927045,168,125,87,62
LOC101927048,0,0,0,0
LOC101927050,0,0,0,0
LOC101927051,0,0,1,1
LOC101927053,0,0,0,0
LOC101927055,0,0,0,0
LOC101927066,0,0,0,0
LOC101927069,0,0,0,0
LOC101927078,0,0,0,0
LOC101927079,0,0,0,0
LOC101927082,0,0,0,0
LOC101927100,0,0,0,0
LOC101927124,4,6,10,11
LOC101927131,0,0,0,0
LOC101927136,1,3,5,5
LOC101927138,0,0,0,0
LOC101927141,0,0,0,0
LOC101927143,0,0,1,0
LOC101927151,313,181,409,317
LOC101927157,2,7,6,1
LOC101927159,0,0,0,0
LOC101927164,2,1,1,0
LOC101927166,0,0,0,0
LOC101927168,5,3,3,1
LOC101927178,3,1,2,7
LOC101927179,0,0,0,0
LOC101927188,0,0,0,0
LOC101927189,2,1,1,1
LOC101927190,0,0,0,0
LOC101927237,6,2,0,0
LOC101927243,0,0,0,0
LOC101927245,21,13,7,16
LOC101927248,0,0,0,0
LOC101927267,15,6,0,2
LOC101927269,0,0,0,0
LOC101927272,0,0,0,0
LOC101927278,7,9,11,11
LOC101927284,0,0,0,0
LOC101927296,0,0,0,0
LOC101927310,0,0,0,3
LOC101927314,0,0,0,0
LOC101927318,1,0,3,1
LOC101927322,8,6,3,5
LOC101927342,0,0,0,0
LOC101927354,9,1,2,4
LOC101927357,0,0,0,0
LOC101927358,0,0,0,0
LOC101927359,0,0,0,0
LOC101927365,94,89,95,49
LOC101927374,0,0,0,0
LOC101927377,0,0,0,0
LOC101927378,18,32,2,2
LOC101927391,2,11,9,7
LOC101927394,0,0,0,0
LOC101927402,2,2,3,3
LOC101927410,0,0,0,0
LOC101927418,1,0,1,0
LOC101927420,25,12,5,10
LOC101927421,3,0,0,0
LOC101927429,0,0,0,0
LOC101927434,0,0,0,0
LOC101927437,0,0,0,0
LOC101927446,0,1,0,0
LOC101927447,1,0,0,0
LOC101927450,0,0,0,0
LOC101927468,1,0,0,0
LOC101927476,4,6,2,0
LOC101927478,1,1,0,0
LOC101927480,0,0,0,0
LOC101927488,15,7,7,11
LOC101927495,0,0,0,0
LOC101927502,0,0,0,0
LOC101927513,0,1,1,0
LOC101927516,0,0,0,0
LOC101927539,0,0,0,0
LOC101927543,0,0,0,0
LOC101927550,82,53,129,127
LOC101927551,0,0,0,0
LOC101927557,0,0,0,0
LOC101927560,1,0,0,0
LOC101927571,1,2,3,1
LOC101927572,26,13,48,45
LOC101927575,0,2,0,1
LOC101927583,0,0,0,0
LOC101927588,11,3,6,3
LOC101927604,6,3,11,4
LOC101927620,7,3,2,2
LOC101927623,0,0,0,0
LOC101927630,2,0,0,0
LOC101927635,17,8,12,5
LOC101927636,0,0,0,0
LOC101927657,9,8,0,0
LOC101927661,0,0,0,0
LOC101927666,0,0,0,0
LOC101927668,2,4,0,0
LOC101927690,0,0,0,0
LOC101927691,0,0,0,1
LOC101927692,0,0,0,0
LOC101927699,3,5,2,5
LOC101927708,0,0,0,0
LOC101927709,0,0,0,0
LOC101927727,0,0,0,2
LOC101927730,0,0,1,0
LOC101927751,45,30,57,58
LOC101927752,31,10,29,26
LOC101927759,36,37,156,99
LOC101927762,1,1,1,2
LOC101927769,0,0,0,0
LOC101927770,0,0,0,0
LOC101927787,0,0,1,0
LOC101927789,82,64,130,142
LOC101927793,0,0,0,0
LOC101927798,0,0,0,0
LOC101927809,12,6,8,10
LOC101927811,13,23,5,9
LOC101927814,3,2,6,1
LOC101927815,0,0,0,0
LOC101927817,0,0,0,0
LOC101927822,0,0,0,0
LOC101927824,5,1,7,1
LOC101927827,0,0,0,0
LOC101927829,4,0,0,0
LOC101927830,0,0,0,0
LOC101927839,0,0,0,0
LOC101927845,0,0,0,0
LOC101927847,0,0,0,0
LOC101927851,4,2,2,2
LOC101927854,7,5,1,2
LOC101927855,0,0,0,0
LOC101927870,0,0,0,0
LOC101927881,0,0,0,0
LOC101927884,0,2,0,0
LOC101927908,0,0,0,0
LOC101927911,0,0,0,0
LOC101927914,1,1,1,0
LOC101927915,0,0,0,0
LOC101927919,11,7,15,14
LOC101927932,2,3,1,1
LOC101927948,0,0,0,0
LOC101927950,0,0,0,0
LOC101927954,0,0,0,0
LOC101927960,0,0,0,0
LOC101927964,1,0,0,0
LOC101927967,0,0,0,0
LOC101927969,0,0,0,0
LOC101927972,0,0,0,0
LOC101927974,51,29,57,28
LOC101927989,0,0,0,0
LOC101928000,70,46,63,30
LOC101928002,0,0,0,0
LOC101928008,10,0,0,0
LOC101928009,0,0,0,0
LOC101928012,0,0,0,0
LOC101928021,2,0,1,0
LOC101928030,0,0,0,0
LOC101928034,1,0,26,14
LOC101928035,0,0,0,0
LOC101928042,18,24,8,10
LOC101928048,0,0,0,0
LOC101928052,0,0,0,0
LOC101928053,18,7,12,15
LOC101928058,0,0,0,0
LOC101928063,13,9,5,6
LOC101928068,20,27,13,19
LOC101928069,10,5,14,15
LOC101928075,0,1,0,1
LOC101928087,0,0,0,0
LOC101928093,2,3,0,0
LOC101928100,270,209,429,336
LOC101928105,9,9,6,12
LOC101928107,0,0,0,0
LOC101928118,0,0,1,0
LOC101928119,0,0,0,0
LOC101928120,13,14,12,13
LOC101928123,0,0,0,0
LOC101928126,0,0,0,0
LOC101928128,0,0,0,0
LOC101928131,1,0,0,0
LOC101928134,0,0,0,0
LOC101928135,0,0,0,0
LOC101928140,0,0,0,0
LOC101928143,2,1,0,0
LOC101928160,0,0,1,0
LOC101928163,0,0,0,0
LOC101928166,0,0,0,0
LOC101928168,0,0,0,0
LOC101928174,0,0,1,1
LOC101928177,0,1,0,0
LOC101928191,1,1,0,0
LOC101928195,0,0,0,0
LOC101928201,0,0,0,0
LOC101928211,1,1,0,1
LOC101928222,0,1,0,0
LOC101928251,0,0,0,0
LOC101928253,0,0,0,0
LOC101928254,0,0,0,0
LOC101928266,0,0,0,0
LOC101928269,0,0,0,0
LOC101928272,0,0,0,0
LOC101928273,0,0,0,0
LOC101928279,5,13,3,2
LOC101928283,0,0,0,0
LOC101928295,0,0,0,0
LOC101928304,1,1,0,0
LOC101928306,0,0,0,0
LOC101928307,0,0,0,0
LOC101928323,0,0,0,1
LOC101928335,0,0,0,0
LOC101928336,9,2,1,0
LOC101928343,0,0,0,0
LOC101928358,0,0,0,0
LOC101928370,0,1,0,0
LOC101928371,4,2,1,0
LOC101928372,0,0,0,1
LOC101928381,0,0,0,0
LOC101928386,0,0,0,0
LOC101928389,99,63,89,52
LOC101928398,0,0,0,0
LOC101928401,0,0,0,0
LOC101928402,6,1,8,3
LOC101928404,0,0,0,0
LOC101928414,0,0,1,0
LOC101928416,0,0,1,0
LOC101928417,0,0,0,0
LOC101928424,5,2,0,2
LOC101928429,0,0,0,0
LOC101928436,0,6,0,1
LOC101928437,0,0,0,0
LOC101928438,3,9,4,3
LOC101928441,0,0,0,0
LOC101928445,7,4,9,5
LOC101928446,0,0,0,0
LOC101928453,2,4,3,0
LOC101928475,0,0,0,0
LOC101928489,10,14,13,13
LOC101928491,0,0,0,0
LOC101928495,0,0,0,0
LOC101928504,42,44,32,19
LOC101928505,0,0,1,0
LOC101928510,0,0,0,0
LOC101928516,3,0,0,0
LOC101928517,0,0,0,0
LOC101928519,0,0,0,0
LOC101928523,0,0,0,0
LOC101928525,1,0,0,0
LOC101928530,0,0,0,0
LOC101928535,0,0,0,0
LOC101928540,1,0,0,0
LOC101928551,0,1,0,0
LOC101928557,0,0,0,0
LOC101928565,0,0,0,0
LOC101928590,0,0,0,0
LOC101928595,1,5,4,0
LOC101928596,0,0,0,0
LOC101928617,3,3,2,0
LOC101928618,0,0,0,0
LOC101928622,0,0,0,0
LOC101928626,0,0,0,0
LOC101928627,1,2,1,0
LOC101928651,0,0,0,0
LOC101928659,8,4,11,16
LOC101928661,0,0,0,0
LOC101928663,1,0,0,0
LOC101928673,52,28,33,26
LOC101928674,3,1,16,19
LOC101928682,2,1,3,4
LOC101928696,1,0,0,0
LOC101928697,0,0,0,0
LOC101928708,0,0,0,0
LOC101928718,2,0,0,1
LOC101928725,10,8,4,6
LOC101928728,55,40,32,17
LOC101928730,0,0,0,0
LOC101928731,1,0,0,0
LOC101928737,14,7,8,8
LOC101928739,0,0,0,0
LOC101928748,0,1,0,0
LOC101928764,9,10,8,5
LOC101928775,0,0,0,0
LOC101928782,0,0,0,0
LOC101928786,0,0,0,0
LOC101928796,4,1,0,0
LOC101928797,0,0,0,0
LOC101928804,0,0,0,0
LOC101928807,0,0,0,0
LOC101928809,0,0,0,0
LOC101928834,0,0,0,0
LOC101928837,16,8,23,11
LOC101928841,122,47,147,117
LOC101928844,0,0,0,0
LOC101928847,0,0,0,0
LOC101928855,0,0,0,0
LOC101928858,0,0,0,0
LOC101928861,0,0,0,0
LOC101928881,0,0,0,0
LOC101928882,0,0,0,0
LOC101928894,0,0,0,0
LOC101928896,0,0,0,0
LOC101928902,0,0,0,0
LOC101928907,1,0,0,2
LOC101928909,3,1,5,2
LOC101928911,0,0,0,0
LOC101928924,0,0,0,0
LOC101928932,0,0,0,0
LOC101928936,0,0,0,0
LOC101928937,0,0,0,0
LOC101928940,0,0,0,0
LOC101928942,0,0,0,0
LOC101928961,0,0,0,0
LOC101928977,5,7,2,0
LOC101928978,0,0,0,0
LOC101928985,0,0,0,0
LOC101928988,0,0,0,0
LOC101928994,3,19,6,3
LOC101929006,1,0,0,0
LOC101929054,13,19,32,27
LOC101929057,24,27,7,6
LOC101929058,0,0,0,0
LOC101929066,22,16,6,7
LOC101929073,0,0,0,0
LOC101929076,0,0,0,1
LOC101929089,1,4,1,0
LOC101929099,19,7,21,4
LOC101929106,0,0,0,0
LOC101929109,1,4,0,0
LOC101929116,0,0,0,0
LOC101929117,0,0,0,0
LOC101929122,0,0,0,0
LOC101929124,0,0,0,0
LOC101929128,0,0,1,0
LOC101929130,1,0,0,0
LOC101929140,6,8,10,5
LOC101929141,0,0,0,0
LOC101929148,0,0,0,0
LOC101929154,0,0,0,0
LOC101929161,0,0,0,0
LOC101929162,1,0,2,0
LOC101929165,13,24,18,10
LOC101929172,0,0,0,0
LOC101929188,14,16,7,3
LOC101929208,0,0,0,0
LOC101929210,2,0,0,0
LOC101929217,0,1,1,2
LOC101929227,0,0,0,0
LOC101929229,0,2,0,1
LOC101929234,5,0,3,2
LOC101929237,0,0,0,0
LOC101929243,12,10,18,24
LOC101929259,0,0,0,0
LOC101929268,1,0,0,0
LOC101929269,0,0,3,1
LOC101929279,0,0,0,0
LOC101929294,0,0,0,0
LOC101929295,0,0,0,0
LOC101929297,0,0,0,0
LOC101929315,0,0,0,0
LOC101929319,0,0,0,0
LOC101929322,0,0,0,0
LOC101929331,0,0,0,0
LOC101929340,17,19,23,21
LOC101929341,0,0,0,0
LOC101929353,0,0,0,0
LOC101929372,12,6,12,12
LOC101929380,2,0,0,0
LOC101929384,0,0,0,0
LOC101929411,0,0,1,1
LOC101929413,0,0,0,0
LOC101929415,0,0,0,0
LOC101929420,0,0,0,0
LOC101929427,0,0,0,0
LOC101929431,9,3,7,2
LOC101929439,0,0,0,1
LOC101929452,0,0,0,0
LOC101929457,2,1,0,2
LOC101929460,0,0,0,0
LOC101929470,6,0,0,0
LOC101929473,0,0,0,0
LOC101929479,9,5,23,10
LOC101929488,0,0,0,0
LOC101929512,7,8,5,5
LOC101929523,1,1,1,2
LOC101929524,0,0,0,0
LOC101929528,0,0,0,0
LOC101929532,0,0,0,0
LOC101929536,6,2,8,7
LOC101929538,0,0,0,0
LOC101929550,0,0,0,0
LOC101929551,0,0,0,0
LOC101929552,0,1,1,1
LOC101929555,2,0,0,1
LOC101929563,1,2,0,0
LOC101929572,0,0,0,0
LOC101929574,5,0,3,2
LOC101929577,1,0,0,1
LOC101929578,0,0,0,0
LOC101929579,1,3,5,12
LOC101929583,0,0,0,0
LOC101929586,0,0,0,0
LOC101929592,0,0,0,0
LOC101929595,0,1,0,0
LOC101929599,0,0,0,0
LOC101929613,0,1,2,0
LOC101929621,0,0,0,0
LOC101929622,0,0,0,0
LOC101929626,1,7,0,1
LOC101929633,1,0,1,2
LOC101929645,0,0,0,0
LOC101929653,0,0,0,0
LOC101929657,1,1,1,0
LOC101929662,0,0,0,0
LOC101929679,15,3,13,10
LOC101929698,0,0,0,0
LOC101929705,463,413,189,123
LOC101929709,312,247,113,86
LOC101929710,3,7,1,1
LOC101929718,0,0,0,0
LOC101929719,3,0,0,0
LOC101929748,2,0,1,0
LOC101929762,1,0,0,2
LOC101929767,31,14,21,12
LOC101929798,0,0,0,0
LOC101929829,2,1,1,4
LOC101929882,20,8,14,13
LOC101929897,3,0,0,1
LOC101929935,1,0,1,1
LOC101929950,25,23,21,14
LOC101929998,0,0,0,0
LOC101930071,6,4,17,7
LOC101930085,422,411,227,219
LOC101930094,1,0,1,0
LOC101930370,40,29,49,51
LOC101930421,0,0,0,0
LOC102031319,0,0,0,0
LOC102467080,0,0,0,0
LOC102467081,0,0,0,0
LOC102467216,0,0,0,0
LOC102467217,0,0,0,0
LOC102467222,0,0,0,0
LOC102467226,0,0,0,0
LOC102503427,0,0,0,0
LOC102546229,0,0,0,0
LOC102546294,3,4,1,4
LOC102546299,0,0,0,0
LOC102606465,154,163,180,129
LOC102606466,1,0,0,0
LOC102723313,0,1,0,0
LOC102723322,3,12,3,0
LOC102723335,0,1,0,0
LOC102723345,2,2,0,0
LOC102723360,0,0,0,0
LOC102723373,0,0,0,0
LOC102723376,0,0,0,0
LOC102723385,6,3,6,4
LOC102723427,0,0,0,0
LOC102723439,0,0,0,0
LOC102723493,4,5,4,2
LOC102723517,0,0,0,0
LOC102723534,4,2,3,1
LOC102723544,0,0,0,0
LOC102723566,19,9,37,36
LOC102723582,6,8,6,6
LOC102723604,0,0,0,0
LOC102723649,7,2,11,5
LOC102723655,0,0,0,0
LOC102723665,24,24,13,3
LOC102723672,53,40,23,33
LOC102723692,0,0,0,0
LOC102723701,1,1,1,0
LOC102723704,0,1,0,1
LOC102723709,0,0,0,0
LOC102723713,0,0,0,0
LOC102723729,3,0,0,1
LOC102723753,1,0,0,0
LOC102723769,0,4,0,0
LOC102723809,0,0,0,0
LOC102723831,0,0,0,0
LOC102723833,0,0,0,0
LOC102723838,0,0,0,0
LOC102723883,0,0,0,0
LOC102723885,1,0,0,2
LOC102723899,7,4,3,1
LOC102723968,0,0,0,0
LOC102723971,0,0,0,0
LOC102723996,5,2,6,2
LOC102724020,0,0,0,0
LOC102724034,0,0,0,0
LOC102724050,3,4,4,2
LOC102724058,0,0,0,0
LOC102724064,4,1,13,7
LOC102724084,6,3,8,2
LOC102724096,0,0,0,0
LOC102724135,18,6,13,6
LOC102724152,0,0,0,0
LOC102724153,0,0,1,0
LOC102724156,1,1,1,0
LOC102724159,2,1,1,3
LOC102724163,0,0,0,0
LOC102724219,0,0,0,0
LOC102724238,0,0,0,0
LOC102724265,0,0,0,0
LOC102724301,0,0,0,3
LOC102724323,0,1,1,2
LOC102724357,0,0,0,0
LOC102724378,14,16,22,21
LOC102724404,0,0,0,0
LOC102724421,0,0,0,0
LOC102724434,4,1,5,2
LOC102724450,3,1,15,4
LOC102724452,0,0,0,0
LOC102724467,6,2,1,1
LOC102724488,0,0,0,0
LOC102724511,0,0,4,0
LOC102724532,25,37,21,20
LOC102724562,0,0,0,2
LOC102724579,2,0,0,0
LOC102724580,0,0,0,0
LOC102724593,1,1,0,0
LOC102724596,1,0,2,2
LOC102724604,0,0,0,0
LOC102724612,0,0,0,0
LOC102724624,0,0,0,0
LOC102724708,3,1,1,1
LOC102724710,0,0,0,0
LOC102724719,0,0,0,0
LOC102724720,1,5,3,5
LOC102724728,0,0,0,0
LOC102724738,0,0,0,0
LOC102724760,0,0,0,0
LOC102724770,0,0,0,0
LOC102724776,0,0,0,0
LOC102724784,0,0,1,0
LOC102724788,0,0,0,0
LOC102724804,0,0,0,0
LOC102724814,77,52,71,42
LOC102724843,0,0,0,0
LOC102724849,1,0,0,0
LOC102724874,0,0,0,0
LOC102724904,0,0,0,0
LOC102724908,0,0,0,0
LOC102724951,0,0,0,0
LOC102724957,0,0,0,0
LOC102724958,0,0,0,0
LOC102724995,0,0,0,0
LOC102725021,35,25,58,30
LOC102725023,0,0,0,0
LOC102725072,0,0,0,0
LOC102725080,0,0,0,0
LOC102725121,0,0,0,1
LOC102725191,2,0,0,0
LOC102725254,1,0,0,1
LOC103021295,0,1,0,0
LOC103171574,0,0,0,0
LOC103344931,149,106,61,60
LOC103352541,0,0,0,0
LOC103611081,86,83,54,37
LOC103908604,0,1,0,0
LOC103908605,1,0,1,0
LOC104054148,0,0,0,0
LOC104613533,0,0,0,0
LOC104968399,7,7,12,9
LOC105274304,23,18,23,18
LOC105369140,39,14,8,4
LOC105369146,0,0,0,0
LOC105369147,32,40,31,23
LOC105369187,0,0,0,0
LOC105369199,19,35,6,10
LOC105369201,217,138,301,177
LOC105369209,0,0,1,0
LOC105369212,0,0,0,0
LOC105369266,0,0,0,0
LOC105369274,0,0,0,0
LOC105369306,0,0,0,0
LOC105369332,2,5,4,2
LOC105369391,0,0,0,0
LOC105369438,0,0,0,0
LOC105369507,0,0,0,0
LOC105369509,0,0,0,0
LOC105369532,0,0,0,0
LOC105369595,1,1,1,4
LOC105369632,0,0,0,0
LOC105369691,1,0,1,0
LOC105369728,2,0,4,0
LOC105369747,1,3,0,0
LOC105369781,0,3,2,1
LOC105369879,0,0,0,0
LOC105369911,0,0,0,1
LOC105369921,1,0,0,1
LOC105369945,0,0,0,0
LOC105369980,2,0,0,1
LOC105370024,0,0,0,0
LOC105370068,0,0,0,0
LOC105370203,1,4,2,0
LOC105370295,0,0,0,0
LOC105370361,1,1,0,1
LOC105370362,0,4,0,1
LOC105370401,0,0,0,0
LOC105370457,0,0,0,0
LOC105370473,0,0,0,0
LOC105370489,0,0,0,0
LOC105370586,0,0,0,0
LOC105370619,0,0,0,0
LOC105370622,0,0,0,0
LOC105370687,10,7,9,9
LOC105370697,0,0,1,1
LOC105370708,3,1,7,3
LOC105370757,0,0,0,0
LOC105370792,0,0,0,1
LOC105370802,0,0,0,0
LOC105370829,0,0,0,0
LOC105370941,15,24,53,26
LOC105370943,4,2,2,3
LOC105370954,0,0,0,0
LOC105370980,0,0,0,0
LOC105371031,0,0,0,0
LOC105371038,16,2,2,2
LOC105371046,0,0,0,0
LOC105371049,0,1,2,1
LOC105371083,1,5,4,6
LOC105371215,0,0,0,0
LOC105371267,16,14,24,11
LOC105371328,0,0,0,0
LOC105371335,0,0,0,0
LOC105371414,7,4,9,12
LOC105371430,0,0,0,0
LOC105371433,2,0,1,1
LOC105371458,0,0,0,0
LOC105371485,0,0,0,0
LOC105371566,0,0,0,0
LOC105371592,31,7,45,24
LOC105371703,0,0,0,0
LOC105371730,17,10,17,13
LOC105371763,50,29,57,43
LOC105371789,0,0,0,0
LOC105371795,55,41,50,31
LOC105371814,4,4,2,8
LOC105371824,1,1,1,1
LOC105371849,11,5,2,3
LOC105371855,19,5,7,7
LOC105371880,0,0,0,0
LOC105371899,0,0,0,0
LOC105371910,0,0,1,1
LOC105371925,0,0,0,1
LOC105371998,17,20,38,45
LOC105372028,0,0,1,2
LOC105372038,0,0,0,0
LOC105372068,0,0,0,0
LOC105372069,0,0,0,0
LOC105372071,0,0,0,0
LOC105372179,0,0,0,0
LOC105372273,7,1,2,0
LOC105372383,0,0,0,1
LOC105372397,0,0,1,0
LOC105372440,0,0,0,0
LOC105372441,0,0,0,0
LOC105372480,35,21,37,42
LOC105372483,1,0,1,1
LOC105372493,0,0,3,2
LOC105372582,6,5,2,3
LOC105372631,5,2,4,7
LOC105372633,0,0,0,0
LOC105372653,10,1,16,3
LOC105372672,0,1,0,0
LOC105372695,0,0,0,0
LOC105372795,7,10,4,8
LOC105372977,0,0,0,0
LOC105372990,0,1,4,6
LOC105373021,0,0,0,0
LOC105373031,1,1,2,2
LOC105373044,0,0,0,0
LOC105373051,0,0,0,0
LOC105373064,6,4,9,6
LOC105373100,0,0,0,0
LOC105373156,0,0,0,0
LOC105373159,151,144,87,55
LOC105373311,43,32,26,17
LOC105373338,0,0,0,0
LOC105373352,0,0,6,2
LOC105373378,1,0,0,0
LOC105373383,3,2,2,1
LOC105373394,0,0,0,0
LOC105373496,0,0,0,0
LOC105373553,0,0,0,0
LOC105373562,1,1,1,2
LOC105373609,0,0,0,0
LOC105373656,1,2,0,1
LOC105373759,55,42,52,32
LOC105373782,0,0,0,0
LOC105373805,3,2,0,1
LOC105373876,0,0,0,0
LOC105373878,0,0,0,0
LOC105374042,0,0,0,0
LOC105374060,0,0,0,0
LOC105374194,0,0,1,0
LOC105374297,0,0,0,0
LOC105374312,1,0,0,0
LOC105374313,0,0,0,0
LOC105374338,0,0,0,0
LOC105374344,0,0,0,0
LOC105374378,0,0,1,1
LOC105374389,0,0,0,0
LOC105374428,0,0,0,0
LOC105374454,60,43,22,20
LOC105374516,0,0,0,0
LOC105374620,0,0,0,0
LOC105374704,0,0,0,0
LOC105374727,25,21,15,5
LOC105374820,0,0,0,0
LOC105374952,76,86,20,18
LOC105374960,0,0,0,0
LOC105374972,0,0,0,0
LOC105374988,1,2,4,1
LOC105375075,0,0,0,0
LOC105375115,0,0,0,0
LOC105375131,0,0,0,0
LOC105375166,0,0,0,0
LOC105375218,1,0,0,0
LOC105375297,0,0,0,0
LOC105375304,0,0,0,1
LOC105375401,4,5,8,5
LOC105375423,0,0,0,0
LOC105375429,0,0,0,0
LOC105375483,0,0,0,0
LOC105375504,0,0,0,2
LOC105375512,0,0,0,0
LOC105375545,0,2,0,1
LOC105375556,0,0,0,0
LOC105375690,0,0,0,0
LOC105375713,0,0,0,0
LOC105375744,1,2,2,1
LOC105375773,0,0,0,0
LOC105375787,0,0,0,0
LOC105375800,0,0,1,0
LOC105375843,0,0,0,0
LOC105375972,0,0,0,0
LOC105376114,56,47,42,24
LOC105376194,0,0,0,0
LOC105376271,7,5,4,5
LOC105376306,6,1,5,5
LOC105376331,1,0,0,0
LOC105376353,0,0,0,0
LOC105376360,0,0,0,0
LOC105376398,0,0,0,0
LOC105376453,0,0,0,0
LOC105376731,0,0,0,0
LOC105376772,0,0,0,0
LOC105376805,30,32,25,35
LOC105376917,0,0,0,0
LOC105376975,0,0,1,2
LOC105377102,23,22,28,18
LOC105377143,0,0,0,0
LOC105377146,0,0,0,0
LOC105377162,1,0,0,0
LOC105377213,2,2,0,0
LOC105377267,0,0,0,0
LOC105377342,2,0,0,0
LOC105377448,0,0,0,0
LOC105377458,0,0,0,0
LOC105377480,0,0,0,0
LOC105377590,0,0,1,0
LOC105377621,10,7,4,8
LOC105377623,3,0,3,1
LOC105377651,0,0,0,0
LOC105377752,0,0,0,0
LOC105377763,19,7,12,8
LOC105377777,0,0,0,0
LOC105377879,0,0,0,0
LOC105377924,0,0,0,0
LOC105377967,0,0,0,0
